351  17     430;2538046.430;1174679.254;
351  17     431;2538030.533;1174721.011;
351  17     432;2538043.614;1174704.633;
351  17     433;2537998.648;1174351.431;
351  17     434;2538051.329;1174688.823;
351  17     435;2538062.826;1174531.096;
351  17     436;2538050.392;1174732.300;
351  17     437;2538095.124;1174461.853;
351  17     439;2538080.533;1174538.867;
351  17     440;2538046.589;1174510.456;
351  17     441;2538055.849;1174433.089;
351  17     442;2538065.049;1174731.917;
351  17     443;2538000.757;1174456.769;
351  17     444;2538032.490;1174533.441;
351  17     445;2537984.045;1174409.915;
351  17     446;2538014.146;1174471.447;
351  17     447;2537996.526;1174722.852;
351  17     448;2538062.269;1174519.098;
351  17     449;2538065.423;1174410.875;
351  17     450;2538056.006;1174433.679;
351  17     451;2538015.053;1174474.926;
351  17     452;2538085.925;1174518.442;
351  17     453;2538056.217;1174687.116;
351  17     455;2538086.989;1174540.288;
351  17     456;2538042.321;1174726.447;
351  17     457;2538090.785;1174470.650;
351  17     458;2538006.207;1174355.512;
351  17     459;2538041.181;1174642.662;
351  17     460;2538093.954;1174540.197;
351  17     462;2538047.703;1174534.903;
351  17     463;2538033.729;1174709.126;
351  17     464;2538007.622;1174481.669;
351  17     465;2538065.440;1174691.032;
351  17     466;2538074.233;1174655.112;
351  17     468;2537971.213;1174456.192;
351  17     470;2538061.579;1174516.399;
351  17     471;2538079.328;1174460.409;
351  17     472;2537990.570;1174336.276;
351  17     473;2538090.277;1174573.512;
351  17     474;2538029.324;1174674.635;
351  17     475;2538032.260;1174673.866;
351  17     476;2538031.212;1174669.914;
351  17     477;2538038.840;1174718.782;
351  17     478;2538040.485;1174717.993;
351  17     479;2537995.987;1174721.721;
351  17     480;2538037.635;1174717.613;
351  17     481;2538039.832;1174716.693;
351  17     482;2538086.060;1174736.346;
351  17     483;2538076.802;1174682.054;
351  17     484;2538076.538;1174680.367;
351  17     485;2538028.277;1174670.693;
351  17     486;2538091.894;1174610.624;
351  17     487;2538106.649;1174609.199;
351  17     488;2538090.334;1174575.189;
351  17     489;2538090.430;1174578.004;
351  17     490;2538086.131;1174522.311;
351  17     491;2538085.077;1174524.004;
351  17     492;2538075.255;1174468.098;
351  17     493;2538075.070;1174469.555;
351  17     494;2538078.280;1174468.490;
351  17     495;2538078.141;1174469.946;
351  17     496;2538078.442;1174469.563;
351  17     497;2538077.624;1174415.291;
351  17     498;2538077.581;1174415.467;
351  17     499;2538077.278;1174415.393;
351  17     500;2538074.669;1174401.822;
351  17     501;2538074.328;1174401.817;
351  17     502;2538074.207;1174409.569;
351  17     503;2538079.705;1174405.389;
